                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4696,                 4.3373,                  1.514,                0.66947,                0.51667,                0.64386,                0.37904,                 1.5621,                 1.9922,                 1.1772,                      0,                      0,                      0
                      2,                 1.4749,                 5.0736,                 1.5639,                0.66571,                0.51667,                 0.6217,                 0.3691,                 1.5534,                 2.0503,                 1.1707,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.3881,                 4.6059,                 1.4341,                0.65964,                0.51667,                0.51793,                0.34536,                 1.5614,                 2.0536,                 1.1708,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.1999,                 4.9425,                 1.4333,                0.66527,                0.51667,                0.51813,                0.34547,                 1.5891,                 2.1022,                 1.1841,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.4366,                  5.035,                 1.5312,                0.67144,                0.51667,                0.51829,                 0.3454,                 1.6065,                 2.1476,                 1.1955,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.4953,                 4.6569,                  1.513,                0.68627,                0.51667,                 0.5177,                 0.3454,                 1.6235,                 2.1883,                 1.2095,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.5016,                 4.7014,                 1.4758,                 0.6877,                0.51667,                0.51766,                0.34537,                  1.581,                 2.2221,                 1.1886,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5792,                 4.6069,                 1.6272,                0.69826,                0.51667,                0.51765,                0.35866,                 1.6178,                 2.2124,                 1.2049,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0016,                  4.319,                 1.3018,                0.70469,                0.51667,                0.51768,                0.35882,                 1.6126,                 2.1993,                 1.2003,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                  1.396,                 5.1512,                 1.4961,                0.72604,                0.51667,                0.51765,                0.35899,                 1.6446,                 2.1974,                 1.2103,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.5733,                   4.87,                 1.5612,                0.72618,                0.51667,                0.51754,                0.35895,                 1.6387,                 2.1847,                  1.209,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                  1.457,                 3.5839,                 1.5762,                0.71759,                   0.35,                0.51765,                0.35899,                 1.6118,                 2.2436,                 1.1934,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.0636,                 3.3855,                 1.3606,                0.71873,                   0.35,                0.51747,                0.35893,                 1.6202,                 2.2406,                 1.1954,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                  1.433,                 5.1494,                 1.5733,                0.71841,                0.51667,                0.51767,                0.35902,                 1.6251,                 2.2583,                 1.1969,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.6485,                 4.6292,                 1.7322,                0.71846,                   0.35,                 0.5177,                0.35922,                 1.6072,                 2.2653,                  1.192,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.5789,                 4.9221,                 1.6236,                0.71052,                   0.35,                0.51774,                0.35924,                  1.607,                 2.2645,                 1.1928,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.3099,                 4.2694,                 1.4803,                0.70877,                   0.35,                0.51783,                0.37577,                 1.6055,                 2.2872,                 1.1883,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.3346,                 3.8649,                 1.4767,                0.70877,                   0.35,                0.51783,                0.37577,                 1.6055,                 2.2872,                 1.1883,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.5827,                 4.6527,                 1.6383,                0.81726,                0.32926,                0.51794,                0.35973,                 1.5782,                 2.2843,                 1.1833,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.5853,                  4.436,                 1.6264,                0.81726,                0.32926,                0.51794,                0.35973,                 1.5782,                 2.2843,                 1.1833,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.4838,                 4.3924,                 1.6327,                0.20094,                   0.55,                 0.4906,                0.36794,                 1.5803,                 2.3146,                 1.1899,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.4589,                 4.0145,                 1.5092,                0.20094,                   0.55,                 0.4906,                0.36794,                 1.5803,                 2.3146,                 1.1899,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.88146,                 3.0612,                 1.3332,                  0.193,                   0.55,                0.48971,                0.35143,                 1.5799,                 2.3075,                 1.1877,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.1734,                 2.9203,                   1.38,                  0.193,                   0.55,                0.48971,                0.35143,                 1.5799,                 2.3075,                 1.1877,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.67717,                 3.5469,                 1.1869,                 0.2012,                   0.55,                0.49018,                0.35138,                 1.5737,                 2.2801,                 1.1851,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.1473,                 3.1934,                 1.3023,                 0.2012,                   0.55,                0.49018,                0.35138,                 1.5737,                 2.2801,                 1.1851,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.3588,                 3.5662,                 1.4833,                0.88672,                0.26667,                0.49049,                0.34537,                 1.5821,                 2.2574,                 1.1846,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.2096,                 3.5988,                 1.3555,                0.88672,                0.26667,                0.49049,                0.34537,                 1.5821,                 2.2574,                 1.1846,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.86854,                 2.9204,                 1.1586,                 0.2795,                0.56667,                0.49363,                0.34559,                 1.5818,                 2.2278,                 1.1855,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                  1.345,                 4.0831,                 1.4506,                 0.2795,                0.56667,                0.49363,                0.34559,                 1.5818,                 2.2278,                 1.1855,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.3976,                 2.7605,                 1.4639,                0.28175,                0.58333,                0.49428,                0.33791,                 1.5797,                 2.2268,                 1.1862,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.95626,                 2.4657,                 1.2159,                0.28175,                0.58333,                0.49428,                0.33791,                 1.5797,                 2.2268,                 1.1862,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.2782,                 3.0408,                 1.3782,                0.19808,                0.58333,                0.49518,                0.33563,                 1.5514,                 2.2357,                 1.1687,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.1548,                 3.0404,                 1.4113,                0.19808,                0.58333,                0.49518,                0.33563,                 1.5514,                 2.2357,                 1.1687,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.1716,                 2.9952,                 1.4187,                 0.8685,                0.26667,                0.48125,                0.32927,                  1.551,                  2.256,                 1.1716,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.0282,                 2.3873,                 1.2646,                 0.8685,                0.26667,                0.48125,                0.32927,                  1.551,                  2.256,                 1.1716,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.3036,                 2.8927,                 1.4267,                0.28951,                0.58333,                0.49571,                0.34636,                 1.5567,                 2.2651,                 1.1893,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.3163,                 3.4158,                 1.3991,                0.28951,                0.58333,                0.49571,                0.34636,                 1.5567,                 2.2651,                 1.1893,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.2408,                 2.7891,                 1.4035,                0.28889,                0.58333,                0.49559,                0.34653,                 1.5439,                 2.2675,                 1.1812,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.1359,                 3.0371,                 1.2891,                0.28889,                0.58333,                0.49559,                0.34653,                 1.5439,                 2.2675,                 1.1812,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.2583,                 3.3183,                  1.433,                 0.8721,                0.26667,                0.49533,                0.34682,                 1.5179,                 2.2875,                 1.1638,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.1221,                 2.7776,                 1.3113,                 0.8721,                0.26667,                0.49533,                0.34682,                 1.5179,                 2.2875,                 1.1638,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0448,                 2.8755,                  1.386,                0.78442,                0.33613,                0.52288,                0.34872,                 1.5338,                 2.2874,                 1.1657,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.0473,                 2.3724,                 1.2782,                0.78442,                0.33613,                0.52288,                0.34872,                 1.5338,                 2.2874,                 1.1657,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.3213,                  2.779,                 1.4503,                0.69471,                0.26667,                 0.4964,                0.34708,                 1.5311,                 2.2835,                 1.1715,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.2527,                 2.7622,                  1.416,                0.69471,                0.26667,                 0.4964,                0.34708,                 1.5311,                 2.2835,                 1.1715,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                  1.086,                 1.5373,                 1.2674,                0.21746,                0.58333,                0.49642,                0.33052,                 1.5619,                 2.2729,                 1.1794,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.0705,                 2.3401,                 1.2912,                0.21746,                0.58333,                0.49642,                0.33052,                 1.5619,                 2.2729,                 1.1794,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.0566,                 2.2673,                 1.2872,                0.21746,                0.58333,                0.49695,                0.33073,                 1.5931,                 2.3428,                 1.1878,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.0381,                 1.7248,                 1.3451,                0.21746,                0.58333,                0.49695,                0.33073,                 1.5931,                 2.3428,                 1.1878,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.0571,                 2.3694,                 1.3559,                0.24524,                0.58333,                 0.4972,                0.28129,                  1.609,                 2.4002,                 1.1879,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.97224,                 2.2429,                 1.2031,                0.24524,                0.58333,                 0.4972,                0.28129,                  1.609,                 2.4002,                 1.1879,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.3642,                 2.5927,                 1.5158,                0.24524,                0.58333,                 0.4972,                0.28129,                  1.609,                 2.4002,                 1.1879,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.97554,                 2.1347,                 1.2317,                0.67556,                0.26667,                0.49694,                0.28661,                 1.6524,                 2.4984,                 1.2012,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.0047,                 1.8181,                 1.2783,                0.67556,                0.26667,                0.49694,                0.28661,                 1.6524,                 2.4984,                 1.2012,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.0636,                 2.8509,                 1.3226,                0.67556,                0.26667,                0.49694,                0.28661,                 1.6524,                 2.4984,                 1.2012,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0908,                 2.6803,                 1.4034,                0.67706,                0.26667,                0.33122,                 0.2311,                 1.6985,                 2.5674,                 1.2112,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.0312,                 1.8632,                 1.1743,                0.67706,                0.26667,                0.33122,                 0.2311,                 1.6985,                 2.5674,                 1.2112,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.97795,                   2.54,                 1.2764,                0.67706,                0.26667,                0.33122,                 0.2311,                 1.6985,                 2.5674,                 1.2112,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.0478,                 2.0243,                 1.3038,                0.68091,                0.26667,                 0.3319,                 0.2262,                 1.7174,                 2.6056,                 1.2088,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.97735,                 1.7091,                 1.2322,                0.68091,                0.26667,                 0.3319,                 0.2262,                 1.7174,                 2.6056,                 1.2088,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.0119,                 2.0158,                 1.2967,                0.68091,                0.26667,                 0.3319,                 0.2262,                 1.7174,                 2.6056,                 1.2088,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.0433,                 2.1594,                 1.3203,                0.73926,                0.26667,                0.33215,                0.22148,                 1.7319,                 2.6418,                 1.2059,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.1468,                  3.031,                 1.3042,                0.73926,                0.26667,                0.33215,                0.22148,                 1.7319,                 2.6418,                 1.2059,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.97103,                 1.7764,                  1.185,                0.73926,                0.26667,                0.33215,                0.22148,                 1.7319,                 2.6418,                 1.2059,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.0495,                  2.111,                 1.2839,                0.74163,                0.26667,                0.33255,                0.22178,                 1.7798,                 2.7006,                 1.2347,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.1494,                 1.9235,                 1.3745,                0.74163,                0.26667,                0.33255,                0.22178,                 1.7798,                 2.7006,                 1.2347,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0972,                 2.4631,                 1.2581,                0.74163,                0.26667,                0.33255,                0.22178,                 1.7798,                 2.7006,                 1.2347,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.0332,                 2.2906,                 1.3254,                0.74118,                0.26667,                0.33307,                0.22154,                 1.7852,                  2.755,                 1.2428,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.2671,                 1.6539,                 1.3236,                0.74118,                0.26667,                0.33307,                0.22154,                 1.7852,                  2.755,                 1.2428,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.1751,                 2.7297,                  1.361,                0.74118,                0.26667,                0.33307,                0.22154,                 1.7852,                  2.755,                 1.2428,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 0.9095,                   1.33,                 1.2398,                0.74189,                0.26667,                0.33332,                0.22215,                 1.7958,                 2.8132,                 1.2594,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.1025,                 1.4809,                 1.3144,                0.74189,                0.26667,                0.33332,                0.22215,                 1.7958,                 2.8132,                 1.2594,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.1862,                 1.9823,                 1.5158,                0.74189,                0.26667,                0.33332,                0.22215,                 1.7958,                 2.8132,                 1.2594,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.1217,                 2.0622,                 1.2586,                0.29144,                0.41667,                0.33282,                0.21561,                 1.8375,                 2.8132,                 1.2801,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.0063,                 1.6427,                 1.2644,                0.29144,                0.41667,                0.33282,                0.21561,                 1.8375,                 2.8132,                 1.2801,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.95676,                 1.9792,                 1.2583,                0.29144,                0.41667,                0.33282,                0.21561,                 1.8375,                 2.8132,                 1.2801,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 0.7012,                 1.5288,                 1.0749,                0.29101,                0.41667,                0.33237,                0.20979,                 1.8201,                 2.9106,                 1.2716,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.0014,                 1.6991,                 1.2907,                0.29101,                0.41667,                0.33237,                0.20979,                 1.8201,                 2.9106,                 1.2716,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                  1.018,                 1.3323,                 1.2766,                0.29101,                0.41667,                0.33237,                0.20979,                 1.8201,                 2.9106,                 1.2716,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 0.8009,                 1.8176,                 1.1441,                0.29101,                0.41667,                0.33257,                0.21577,                 1.8747,                 2.9421,                 1.2971,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.1616,                 2.3111,                 1.3257,                0.29101,                0.41667,                0.33257,                0.21577,                 1.8747,                 2.9421,                 1.2971,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.90691,                 1.4967,                 1.1753,                0.29101,                0.41667,                0.33257,                0.21577,                 1.8747,                 2.9421,                 1.2971,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.1746,                 2.1755,                 1.3865,                 0.7283,                0.26667,                0.29836,                0.20159,                 1.8818,                 2.9139,                 1.2969,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.67796,                   1.24,                 1.1396,                 0.7283,                0.26667,                0.29836,                0.20159,                 1.8818,                 2.9139,                 1.2969,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.81095,                 1.7235,                 1.1633,                 0.7283,                0.26667,                0.29836,                0.20159,                 1.8818,                 2.9139,                 1.2969,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.73489,                 0.9319,                 1.0949,                 0.7283,                0.26667,                0.29836,                0.20159,                 1.8818,                 2.9139,                 1.2969,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.95602,                 1.4585,                 1.1879,                0.73183,                0.26667,                0.29734,                0.17918,                 1.9602,                 2.9974,                 1.3625,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.74007,                 1.7028,                 1.1427,                0.73183,                0.26667,                0.29734,                0.17918,                 1.9602,                 2.9974,                 1.3625,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.0639,                 1.5708,                 1.2614,                0.73183,                0.26667,                0.29734,                0.17918,                 1.9602,                 2.9974,                 1.3625,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.71618,                0.81719,                 1.0683,                0.73183,                0.26667,                0.29734,                0.17918,                 1.9602,                 2.9974,                 1.3625,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.83208,                0.85689,                 1.0793,                0.29101,                0.41667,                0.33428,                0.19471,                 1.9662,                 2.9294,                 1.3526,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.89412,                 1.0256,                 1.0762,                0.29101,                0.41667,                0.33428,                0.19471,                 1.9662,                 2.9294,                 1.3526,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.84265,                0.99163,                 1.0934,                0.29101,                0.41667,                0.33428,                0.19471,                 1.9662,                 2.9294,                 1.3526,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.76873,                0.83366,                 1.0604,                0.29101,                0.41667,                0.33428,                0.19471,                 1.9662,                 2.9294,                 1.3526,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.90437,                0.90634,                 1.1095,                0.74733,                0.26667,                0.29969,                0.18068,                 1.9524,                 2.7448,                 1.3618,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.92767,                 1.0981,                 1.0432,                0.74733,                0.26667,                0.29969,                0.18068,                 1.9524,                 2.7448,                 1.3618,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 1.0213,                 1.0735,                 1.1447,                0.74733,                0.26667,                0.29969,                0.18068,                 1.9524,                 2.7448,                 1.3618,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.81826,                0.78477,                 1.1085,                0.74733,                0.26667,                0.29969,                0.18068,                 1.9524,                 2.7448,                 1.3618,             3.4753e-06,             3.4753e-06,             3.4753e-06
